0,0,0
"6/5",0,0
"12/5",0,0
"18/5",0,0
"24/5",0,0
6,0,0
"36/5",0,0
"42/5",0,0
"48/5",0,0
"54/5",0,0
12,0,0
"66/5",0,0
"72/5",0,0
"78/5",0,0
"84/5",0,0
18,0,0
"96/5",0,0
"102/5",0,0
"108/5",0,0
"114/5",0,0
24,0,0
"126/5",0,0
"132/5",0,0
"138/5",0,0
"144/5",0,0
30,0,0
"156/5",0,0
"162/5",0,0
"168/5",0,0
"174/5",0,0
36,0,0
"186/5",0,0
"192/5",0,0
"198/5",0,0
"204/5",0,0
42,0,0
"216/5",0,0
"222/5",0,0
"228/5",0,0
"234/5",0,0
48,0,0
"246/5",0,0
"252/5",0,0
"258/5",0,0
"264/5",0,0
54,0,0
"276/5",0,0
"282/5",0,0
"288/5",0,0
"294/5",0,0
60,0,0
0,"6/5",0
"6/5","6/5",0
"12/5","6/5",0
"18/5","6/5",0
"24/5","6/5",0
6,"6/5",0
"36/5","6/5",0
"42/5","6/5",0
"48/5","6/5",0
"54/5","6/5",0
12,"6/5",0
"66/5","6/5",0
"72/5","6/5",0
"78/5","6/5",0
"84/5","6/5",0
18,"6/5",0
"96/5","6/5",0
"102/5","6/5",0
"108/5","6/5",0
"114/5","6/5",0
24,"6/5",0
"126/5","6/5",0
"132/5","6/5",0
"138/5","6/5",0
"144/5","6/5",0
30,"6/5",0
"156/5","6/5",0
"162/5","6/5",0
"168/5","6/5",0
"174/5","6/5",0
36,"6/5",0
"186/5","6/5",0
"192/5","6/5",0
"198/5","6/5",0
"204/5","6/5",0
42,"6/5",0
"216/5","6/5",0
"222/5","6/5",0
"228/5","6/5",0
"234/5","6/5",0
48,"6/5",0
"246/5","6/5",0
"252/5","6/5",0
"258/5","6/5",0
"264/5","6/5",0
54,"6/5",0
"276/5","6/5",0
"282/5","6/5",0
"288/5","6/5",0
"294/5","6/5",0
60,"6/5",0
0,"12/5",0
"6/5","12/5",0
"12/5","12/5",0
"18/5","12/5",0
"24/5","12/5",0
6,"12/5",0
"36/5","12/5",0
"42/5","12/5",0
"48/5","12/5",0
"54/5","12/5",0
12,"12/5",0
"66/5","12/5",0
"72/5","12/5",0
"78/5","12/5",0
"84/5","12/5",0
18,"12/5",0
"96/5","12/5",0
"102/5","12/5",0
"108/5","12/5",0
"114/5","12/5",0
24,"12/5",0
"126/5","12/5",0
"132/5","12/5",0
"138/5","12/5",0
"144/5","12/5",0
30,"12/5",0
"156/5","12/5",0
"162/5","12/5",0
"168/5","12/5",0
"174/5","12/5",0
36,"12/5",0
"186/5","12/5",0
"192/5","12/5",0
"198/5","12/5",0
"204/5","12/5",0
42,"12/5",0
"216/5","12/5",0
"222/5","12/5",0
"228/5","12/5",0
"234/5","12/5",0
48,"12/5",0
"246/5","12/5",0
"252/5","12/5",0
"258/5","12/5",0
"264/5","12/5",0
54,"12/5",0
"276/5","12/5",0
"282/5","12/5",0
"288/5","12/5",0
"294/5","12/5",0
60,"12/5",0
0,"18/5",0
"6/5","18/5",0
"12/5","18/5",0
"18/5","18/5",0
"24/5","18/5",0
6,"18/5",0
"36/5","18/5",0
"42/5","18/5",0
"48/5","18/5",0
"54/5","18/5",0
12,"18/5",0
"66/5","18/5",0
"72/5","18/5",0
"78/5","18/5",0
"84/5","18/5",0
18,"18/5",0
"96/5","18/5",0
"102/5","18/5",0
"108/5","18/5",0
"114/5","18/5",0
24,"18/5",0
"126/5","18/5",0
"132/5","18/5",0
"138/5","18/5",0
"144/5","18/5",0
30,"18/5",0
"156/5","18/5",0
"162/5","18/5",0
"168/5","18/5",0
"174/5","18/5",0
36,"18/5",0
"186/5","18/5",0
"192/5","18/5",0
"198/5","18/5",0
"204/5","18/5",0
42,"18/5",0
"216/5","18/5",0
"222/5","18/5",0
"228/5","18/5",0
"234/5","18/5",0
48,"18/5",0
"246/5","18/5",0
"252/5","18/5",0
"258/5","18/5",0
"264/5","18/5",0
54,"18/5",0
"276/5","18/5",0
"282/5","18/5",0
"288/5","18/5",0
"294/5","18/5",0
60,"18/5",0
0,"24/5",0
"6/5","24/5",0
"12/5","24/5",0
"18/5","24/5",0
"24/5","24/5",0
6,"24/5",0
"36/5","24/5",0
"42/5","24/5",0
"48/5","24/5",0
"54/5","24/5",0
12,"24/5",0
"66/5","24/5",0
"72/5","24/5",0
"78/5","24/5",0
"84/5","24/5",0
18,"24/5",0
"96/5","24/5",0
"102/5","24/5",0
"108/5","24/5",0
"114/5","24/5",0
24,"24/5",0
"126/5","24/5",0
"132/5","24/5",0
"138/5","24/5",0
"144/5","24/5",0
30,"24/5",0
"156/5","24/5",0
"162/5","24/5",0
"168/5","24/5",0
"174/5","24/5",0
36,"24/5",0
"186/5","24/5",0
"192/5","24/5",0
"198/5","24/5",0
"204/5","24/5",0
42,"24/5",0
"216/5","24/5",0
"222/5","24/5",0
"228/5","24/5",0
"234/5","24/5",0
48,"24/5",0
"246/5","24/5",0
"252/5","24/5",0
"258/5","24/5",0
"264/5","24/5",0
54,"24/5",0
"276/5","24/5",0
"282/5","24/5",0
"288/5","24/5",0
"294/5","24/5",0
60,"24/5",0
0,6,0
"6/5",6,0
"12/5",6,0
"18/5",6,0
"24/5",6,0
6,6,0
"36/5",6,0
"42/5",6,0
"48/5",6,0
"54/5",6,0
12,6,0
"66/5",6,0
"72/5",6,0
"78/5",6,0
"84/5",6,0
18,6,0
"96/5",6,0
"102/5",6,0
"108/5",6,0
"114/5",6,0
24,6,0
"126/5",6,0
"132/5",6,0
"138/5",6,0
"144/5",6,0
30,6,0
"156/5",6,0
"162/5",6,0
"168/5",6,0
"174/5",6,0
36,6,0
"186/5",6,0
"192/5",6,0
"198/5",6,0
"204/5",6,0
42,6,0
"216/5",6,0
"222/5",6,0
"228/5",6,0
"234/5",6,0
48,6,0
"246/5",6,0
"252/5",6,0
"258/5",6,0
"264/5",6,0
54,6,0
"276/5",6,0
"282/5",6,0
"288/5",6,0
"294/5",6,0
60,6,0
0,"36/5",0
"6/5","36/5",0
"12/5","36/5",0
"18/5","36/5",0
"24/5","36/5",0
6,"36/5",0
"36/5","36/5",0
"42/5","36/5",0
"48/5","36/5",0
"54/5","36/5",0
12,"36/5",0
"66/5","36/5",0
"72/5","36/5",0
"78/5","36/5",0
"84/5","36/5",0
18,"36/5",0
"96/5","36/5",0
"102/5","36/5",0
"108/5","36/5",0
"114/5","36/5",0
24,"36/5",0
"126/5","36/5",0
"132/5","36/5",0
"138/5","36/5",0
"144/5","36/5",0
30,"36/5",0
"156/5","36/5",0
"162/5","36/5",0
"168/5","36/5",0
"174/5","36/5",0
36,"36/5",0
"186/5","36/5",0
"192/5","36/5",0
"198/5","36/5",0
"204/5","36/5",0
42,"36/5",0
"216/5","36/5",0
"222/5","36/5",0
"228/5","36/5",0
"234/5","36/5",0
48,"36/5",0
"246/5","36/5",0
"252/5","36/5",0
"258/5","36/5",0
"264/5","36/5",0
54,"36/5",0
"276/5","36/5",0
"282/5","36/5",0
"288/5","36/5",0
"294/5","36/5",0
60,"36/5",0
0,"42/5",0
"6/5","42/5",0
"12/5","42/5",0
"18/5","42/5",0
"24/5","42/5",0
6,"42/5",0
"36/5","42/5",0
"42/5","42/5",0
"48/5","42/5",0
"54/5","42/5",0
12,"42/5",0
"66/5","42/5",0
"72/5","42/5",0
"78/5","42/5",0
"84/5","42/5",0
18,"42/5",0
"96/5","42/5",0
"102/5","42/5",0
"108/5","42/5",0
"114/5","42/5",0
24,"42/5",0
"126/5","42/5",0
"132/5","42/5",0
"138/5","42/5",0
"144/5","42/5",0
30,"42/5",0
"156/5","42/5",0
"162/5","42/5",0
"168/5","42/5",0
"174/5","42/5",0
36,"42/5",0
"186/5","42/5",0
"192/5","42/5",0
"198/5","42/5",0
"204/5","42/5",0
42,"42/5",0
"216/5","42/5",0
"222/5","42/5",0
"228/5","42/5",0
"234/5","42/5",0
48,"42/5",0
"246/5","42/5",0
"252/5","42/5",0
"258/5","42/5",0
"264/5","42/5",0
54,"42/5",0
"276/5","42/5",0
"282/5","42/5",0
"288/5","42/5",0
"294/5","42/5",0
60,"42/5",0
0,"48/5",0
"6/5","48/5",0
"12/5","48/5",0
"18/5","48/5",0
"24/5","48/5",0
6,"48/5",0
"36/5","48/5",0
"42/5","48/5",0
"48/5","48/5",0
"54/5","48/5",0
12,"48/5",0
"66/5","48/5",0
"72/5","48/5",0
"78/5","48/5",0
"84/5","48/5",0
18,"48/5",0
"96/5","48/5",0
"102/5","48/5",0
"108/5","48/5",0
"114/5","48/5",0
24,"48/5",0
"126/5","48/5",0
"132/5","48/5",0
"138/5","48/5",0
"144/5","48/5",0
30,"48/5",0
"156/5","48/5",0
"162/5","48/5",0
"168/5","48/5",0
"174/5","48/5",0
36,"48/5",0
"186/5","48/5",0
"192/5","48/5",0
"198/5","48/5",0
"204/5","48/5",0
42,"48/5",0
"216/5","48/5",0
"222/5","48/5",0
"228/5","48/5",0
"234/5","48/5",0
48,"48/5",0
"246/5","48/5",0
"252/5","48/5",0
"258/5","48/5",0
"264/5","48/5",0
54,"48/5",0
"276/5","48/5",0
"282/5","48/5",0
"288/5","48/5",0
"294/5","48/5",0
60,"48/5",0
0,"54/5",0
"6/5","54/5",0
"12/5","54/5",0
"18/5","54/5",0
"24/5","54/5",0
6,"54/5",0
"36/5","54/5",0
"42/5","54/5",0
"48/5","54/5",0
"54/5","54/5",0
12,"54/5",0
"66/5","54/5",0
"72/5","54/5",0
"78/5","54/5",0
"84/5","54/5",0
18,"54/5",0
"96/5","54/5",0
"102/5","54/5",0
"108/5","54/5",0
"114/5","54/5",0
24,"54/5",0
"126/5","54/5",0
"132/5","54/5",0
"138/5","54/5",0
"144/5","54/5",0
30,"54/5",0
"156/5","54/5",0
"162/5","54/5",0
"168/5","54/5",0
"174/5","54/5",0
36,"54/5",0
"186/5","54/5",0
"192/5","54/5",0
"198/5","54/5",0
"204/5","54/5",0
42,"54/5",0
"216/5","54/5",0
"222/5","54/5",0
"228/5","54/5",0
"234/5","54/5",0
48,"54/5",0
"246/5","54/5",0
"252/5","54/5",0
"258/5","54/5",0
"264/5","54/5",0
54,"54/5",0
"276/5","54/5",0
"282/5","54/5",0
"288/5","54/5",0
"294/5","54/5",0
60,"54/5",0
0,12,0
"6/5",12,0
"12/5",12,0
